Title,Old Price,Discounted Price,Discount %,Link,Promo Note
Ritz Crackers Original 227g,3.5,3,14.3,https://www.woolworths.co.nz/shop/product-details/261282/ritz-crackers-original,SAVE $0.50
Big Black Sacks Low Cost Rubbish Bags 5 Pack,1.6,1.35,15.6,https://www.woolworths.co.nz/shop/product-details/268840/big-black-sacks-low-cost-rubbish-bags,SAVE $0.25
Fantastic Rice Crackers Sour Cream & Chives 100g,2.25,2,11.1,https://www.woolworths.co.nz/shop/product-details/232397/fantastic-rice-crackers-sour-cream-chives,SAVE $0.25
Pic's Peanut Butter Smooth 380g,7.79,3.89,1,https://www.woolworths.co.nz/shop/product-details/754776/pic-s-peanut-butter-smooth,
Griffin's Mallowpuffs Chocolate Biscuits Original 200g,5.99,3.99,33.4,https://www.woolworths.co.nz/shop/product-details/271145/griffin-s-mallowpuffs-chocolate-biscuits-original,
Arnott's Shapes Sensations Multipack Variety 375g 15 Pack,7.49,6,19.9,https://www.woolworths.co.nz/shop/product-details/641532/arnott-s-shapes-sensations-multipack-variety-375g,SAVE $1.49
Flemings Chewy Muesli Bars Chocolate Chip 180g,3.4,2.69,20.9,https://www.woolworths.co.nz/shop/product-details/320424/flemings-chewy-muesli-bars-chocolate-chip,
Tegel Free Range Chicken Nuggets Tempura Battered 900g,16,13,18.8,https://www.woolworths.co.nz/shop/product-details/307528/tegel-free-range-chicken-nuggets-tempura-battered,
Otis Oat Milk The Barista One 1L,4.69,3.69,21.3,https://www.woolworths.co.nz/shop/product-details/171100/otis-oat-milk-the-barista-one,SAVE $1.00
Cyclops Greek Yoghurt Natural 750g,6.95,6,13.7,https://www.woolworths.co.nz/shop/product-details/252236/cyclops-greek-yoghurt-natural,SAVE $0.95
Henergy Eggs Cage Free Size 7 18 Pack,14.95,12.45,16.7,https://www.woolworths.co.nz/shop/product-details/820276/henergy-eggs-cage-free-size-7,SAVE $2.50
Coca-Cola Soft Drink Coke 2.25L,5.39,3.79,29.7,https://www.woolworths.co.nz/shop/product-details/179075/coca-cola-soft-drink-coke,SAVE $1.60
The Greater Good Pukekohe Fries Agria Crinkles Gluten Free 1kg,5.2,4.5,13.5,https://www.woolworths.co.nz/shop/product-details/231254/the-greater-good-pukekohe-fries-agria-crinkles-gluten-free,SAVE $0.70
Otaika Valley Eggs Free Range Size 7 12 Pack,12.55,11.25,10.4,https://www.woolworths.co.nz/shop/product-details/411926/otaika-valley-eggs-free-range-size-7,SAVE $1.30
Tostitos Rounds Corn Chips Lightly Salted 290g,5.5,4,27.3,https://www.woolworths.co.nz/shop/product-details/197193/tostitos-rounds-corn-chips-lightly-salted,
Griffin's Cookie Bear Biscuits Shrewsbry Jam Filled 195g,3.65,2.49,31.8,https://www.woolworths.co.nz/shop/product-details/337202/griffin-s-cookie-bear-biscuits-shrewsbry-jam-filled,
Griffin's Squiggles Chocolate Biscuits Hokey Pokey 215g,5.99,3.49,41.7,https://www.woolworths.co.nz/shop/product-details/270827/griffin-s-squiggles-chocolate-biscuits-hokey-pokey,
Wattie's Chilli Beans Mild 420g,3.99,3.19,20.1,https://www.woolworths.co.nz/shop/product-details/266032/wattie-s-chilli-beans-mild,
Whittaker's Chocolate Dark Ghana 72% 250g,8.49,7.49,11.8,https://www.woolworths.co.nz/shop/product-details/266980/whittaker-s-chocolate-dark-ghana-72,SAVE $1.00
McCain Frozen Green Baby Beans 500g,4.3,2.99,30.5,https://www.woolworths.co.nz/shop/product-details/22239/mccain-frozen-green-baby-beans,
Woolworths Instore Deli Sliced Ham Champagne min order 50g,24.9,22,11.6,https://www.woolworths.co.nz/shop/product-details/6025914/woolworths-instore-deli-sliced-ham-champagne,SAVE $2.90
Woodland Eggs Free Range Size 6 10 Pack,10.49,7.4,29.5,https://www.woolworths.co.nz/shop/product-details/774152/woodland-eggs-free-range-size-6,
Tegel Free Range Chicken Burgers Crunchy Breast 650g,16,9.89,38.2,https://www.woolworths.co.nz/shop/product-details/307637/tegel-free-range-chicken-burgers-crunchy-breast,
Mexicano Corn Chips Tasty Cheese 170g,3.4,2.9,14.7,https://www.woolworths.co.nz/shop/product-details/726007/mexicano-corn-chips-tasty-cheese,
Fresh'n Fruity Yoghurt Tub Vanilla Bean 1kg,6.25,4.99,20.2,https://www.woolworths.co.nz/shop/product-details/61972/fresh-n-fruity-yoghurt-tub-vanilla-bean,
So Good Oat Milk Barista Edition Uht 1L,4.99,3.99,20.0,https://www.woolworths.co.nz/shop/product-details/83273/so-good-oat-milk-barista-edition-uht,
Kiwi Blue Water Still 1.5L,1.19,0.99,16.8,https://www.woolworths.co.nz/shop/product-details/263880/kiwi-blue-water-still,SAVE $0.20
Fantastic Rice Crackers Seaweed 100g,2.25,2,11.1,https://www.woolworths.co.nz/shop/product-details/35117/fantastic-rice-crackers-seaweed,SAVE $0.25
Patties Savouries Mini Party Pies 560g 12 Pack,8.69,4.99,42.6,https://www.woolworths.co.nz/shop/product-details/77888/patties-savouries-mini-party-pies-560g,
Skippy Cereal Cornflakes 300g,3.99,2.59,35.1,https://www.woolworths.co.nz/shop/product-details/266586/skippy-cereal-cornflakes,
Griffin's Cookie Bear Biscuits 100S & 1000S 200g,3.65,2.49,31.8,https://www.woolworths.co.nz/shop/product-details/47261/griffin-s-cookie-bear-biscuits-100s-1000s,
Sparkling Duet Soft Drink Orange Lemon 1.5L,2.49,1.33,46.6,https://www.woolworths.co.nz/shop/product-details/271709/sparkling-duet-soft-drink-orange-lemon,SAVE $1.16
Birds Eye Golden Crunch Fries Crinkles 750g,5.99,3.99,33.4,https://www.woolworths.co.nz/shop/product-details/757400/birds-eye-golden-crunch-fries-crinkles,
